farm_no,farm_id,soil,rotlength,crop1,crop2,crop3,crop4,crop5,crop6,tillage1,tillage2,tillage3,tillage4,tillage5,tillage6,seedrate1,seedrate2,seedrate3,seedrate4,seedrate5,seedrate6,delsow1,delsow2,delsow3,delsow4,delsow5,delsow6,Nfert1,Nfert2,Nfert3,Nfert4,Nfert5,Nfert6,Pfert1,Pfert2,Pfert3,Pfert4,Pfert5,Pfert6,Kfert1,Kfert2,Kfert3,Kfert4,Kfert5,Kfert6,bgherbdose1,bgherbdose2,bgherbdose3,bgherbdose4,bgherbdose5,bgherbdose6,glydose1,glydose2,glydose3,glydose4,glydose5,glydose6,nspray1,nspray2,nspray3,nspray4,nspray5,nspray6,subsidy,blackgrass1,blackgrass2,blackgrass3,blackgrass4,blackgrass5,blackgrass6,cropprice1,cropprice2,cropprice3,cropprice4,cropprice5,cropprice6,cropyield1,cropyield2,cropyield3,cropyield4,cropyield5,cropyield6,yieldoption,Nprice,Pprice,Kprice,seedprice1,seedprice2,seedprice3,seedprice4,seedprice5,seedprice6,herbprice1,herbprice2,herbprice3,herbprice4,herbprice5,herbprice6,glyprice1,glyprice2,glyprice3,glyprice4,glyprice5,glyprice6,machsize1,machsize2,machsize3,machsize4,machsize5,fuelprice,labourwage
1,A,2.50,6,winterwheat,winterwheat,winterbarley,wosr,winterwheat,setaside,ploughing,ploughing,ploughing,directdrilling,ploughing,directdrilling,195,189,190,4,196,0,no,late,no,late,later,no,189,143,139,91,157,0,95,95,95,80,95,0,115,115,115,70,115,0,15.75,0.4,4.22,1,1.12,0,0,0,0,3,3,0,2,1,2,2,3,0,yes,high,medium,high,veryhigh,high,high,115,115,153,340,115,0,8.6,8.1,6.9,2.1,8.39,0,estimate,0.8,0.63,0.47,0.4,0.4,0.37,7.37,0.4,0,19.5,19.5,19.5,19.5,19.5,19.5,2.43,2.43,2.43,2.43,2.43,2.43,102,6,4,1400,125,0.62,9.95
2,B,2.50,6,winterwheat,winterwheat,wosr,springbarley,winterwheat,setaside,subsoiling,subsoiling,subsoiling,ploughing,subsoiling,directdrilling,170,190,4.8,194,180,0,no,no,late,no,no,no,188,188,200,124,195,0,95,95,80,80,95,0,115,115,70,100,115,0,2.93,3.33,2.3,0,2.86,0,0,0,2,0,0,0,3,3,5,1,2,0,yes,medium,low,low,low,low,low,115,115,340,170,115,0,8.45,8,4.85,7.5,9,0,estimate,0.8,0.63,0.47,0.4,0.4,7.37,0.38,0.4,0,19.5,19.5,19.5,19.5,19.5,19.5,2.43,2.43,2.43,2.43,2.43,2.43,102,6,4,1400,125,0.62,9.95
3,C,1.75,6,springbeans,winterwheat,winterwheat,wosr,winterwheat,setaside,subsoiling,subsoiling,subsoiling,subsoiling,subsoiling,directdrilling,300,135,176,2.3,165,0,late,no,no,late,no,no,209,217,220,208,212,0,70,95,95,80,95,0,70,115,115,70,115,0,4.5,4.16,7.85,0.7,19.75,0,5,0,2,3,3,0,5,3,4,3,6,0,yes,medium,high,high,high,high,high,212,115,115,340,115,0,4.4,12.2,5.1,4.1,12.4,0,estimate,0.8,0.63,0.47,0.43,0.4,0.4,7.37,0.4,0,19.5,19.5,19.5,19.5,19.5,19.5,2.43,2.43,2.43,2.43,2.43,2.43,102,6,4,1400,125,0.62,9.95
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
